İl,İlçe,Alan (m2),Oda Sayısı,Bina Yaşı,Kat,Isıtma,Balkon,Asansör,Eşyalı mı?,Fiyat (TL)
Adana,Karaisalı,168,2+1,1,15,Kombi,Var,Var,Hayır,168000
Adana,Karaisalı,87,3+1,14,20,Soba,Yok,Yok,Hayır,87000
Adana,Karaisalı,160,2+1,5,9,Soba,Var,Yok,Evet,160000
Adana,Karaisalı,82,2+1,12,2,Merkezi,Yok,Var,Evet,82000
Adana,Karaisalı,116,1+1,1,12,Kombi,Var,Var,Evet,116000
Adana,Karaisalı,137,3+1,21,8,Soba,Var,Var,Hayır,123300
Adana,Karaisalı,121,3+1,15,11,Merkezi,Yok,Yok,Evet,121000
Adana,Karaisalı,128,1+1,13,11,Kombi,Var,Var,Evet,128000
Adana,Karataş,94,3+1,20,7,Soba,Yok,Yok,Evet,94000
Adana,Karataş,67,1+1,2,15,Kombi,Yok,Yok,Hayır,67000
Adana,Karataş,107,2+1,18,15,Merkezi,Var,Yok,Hayır,107000
Adana,Karataş,166,3+1,24,5,Merkezi,Var,Yok,Evet,149400
Adana,Karataş,83,2+1,4,12,Kombi,Var,Yok,Hayır,83000
Adana,Karataş,169,4+1,29,7,Soba,Var,Var,Hayır,152100
Adana,Karataş,66,1+1,27,13,Kombi,Yok,Var,Hayır,59400
Adana,Karataş,61,2+1,26,18,Soba,Var,Yok,Evet,54900
Adana,Karataş,97,1+1,26,8,Kombi,Var,Var,Evet,87300
Adana,Karataş,76,3+1,9,4,Soba,Yok,Var,Hayır,76000
Adana,Kozan,96,4+1,13,2,Soba,Yok,Yok,Evet,96000
Adana,Kozan,125,4+1,2,6,Soba,Yok,Yok,Hayır,125000
Adana,Kozan,114,4+1,10,7,Merkezi,Yok,Var,Hayır,114000
Adana,Kozan,165,4+1,3,9,Soba,Yok,Var,Hayır,165000
Adana,Kozan,63,4+1,3,20,Soba,Yok,Var,Hayır,63000
Adana,Kozan,100,1+1,25,15,Merkezi,Yok,Var,Hayır,90000
Adana,Kozan,62,4+1,0,15,Soba,Var,Var,Evet,62000
Adana,Kozan,93,1+1,5,18,Merkezi,Yok,Yok,Hayır,93000
Adana,Kozan,96,3+1,19,13,Soba,Yok,Yok,Evet,96000
Adana,Kozan,95,2+1,12,20,Merkezi,Yok,Yok,Hayır,95000
Adana,Pozantı,73,4+1,15,9,Kombi,Yok,Var,Hayır,73000
Adana,Pozantı,119,2+1,26,17,Kombi,Var,Var,Hayır,107100
Adana,Pozantı,106,2+1,28,1,Soba,Yok,Yok,Hayır,95400
Adana,Pozantı,79,2+1,5,19,Soba,Var,Yok,Evet,79000
Adana,Pozantı,73,2+1,9,6,Kombi,Var,Var,Evet,73000
Adana,Pozantı,100,4+1,10,9,Kombi,Yok,Yok,Evet,100000
Adana,Pozantı,95,3+1,5,3,Merkezi,Var,Var,Evet,95000
Adana,Pozantı,83,3+1,15,0,Merkezi,Var,Yok,Hayır,83000
Adana,Pozantı,180,2+1,27,7,Soba,Var,Yok,Hayır,162000
Adana,Pozantı,177,2+1,20,20,Soba,Yok,Var,Hayır,177000
Adana,Saimbeyli,63,3+1,30,14,Kombi,Var,Var,Evet,56700
Adana,Saimbeyli,168,3+1,26,1,Kombi,Yok,Var,Hayır,151200
Adana,Saimbeyli,177,2+1,5,9,Kombi,Var,Yok,Evet,177000
Adana,Saimbeyli,69,1+1,3,8,Kombi,Var,Yok,Evet,69000
Adana,Saimbeyli,63,2+1,26,5,Soba,Var,Yok,Evet,56700
Adana,Saimbeyli,153,2+1,17,7,Merkezi,Yok,Var,Evet,153000
Adana,Saimbeyli,77,3+1,10,7,Merkezi,Var,Var,Hayır,77000
Adana,Saimbeyli,113,4+1,28,13,Merkezi,Var,Var,Evet,101700
Adana,Saimbeyli,149,1+1,7,5,Kombi,Yok,Var,Evet,149000
Adana,Saimbeyli,62,4+1,5,6,Kombi,Var,Yok,Hayır,62000
Adana,Sarıçam,114,1+1,24,7,Soba,Yok,Yok,Evet,102600
Adana,Sarıçam,159,2+1,30,4,Soba,Yok,Var,Evet,143100
Adana,Sarıçam,70,1+1,7,13,Kombi,Yok,Yok,Evet,70000
Adana,Sarıçam,92,1+1,23,8,Soba,Var,Yok,Evet,82800
Adana,Sarıçam,75,3+1,17,15,Kombi,Var,Var,Evet,75000
Adana,Sarıçam,61,1+1,4,11,Merkezi,Var,Var,Evet,61000
Adana,Sarıçam,128,2+1,29,18,Soba,Var,Var,Evet,115200
Adana,Sarıçam,162,3+1,1,2,Soba,Var,Yok,Evet,162000
Adana,Sarıçam,63,2+1,19,10,Kombi,Yok,Var,Evet,63000
Adana,Sarıçam,108,3+1,11,18,Soba,Var,Var,Hayır,108000
Adana,Seyhan,60,2+1,9,6,Merkezi,Var,Yok,Evet,72000
Adana,Seyhan,118,4+1,30,17,Merkezi,Yok,Var,Evet,141600
Adana,Seyhan,62,3+1,5,11,Soba,Var,Var,Hayır,74400
Adana,Seyhan,70,4+1,25,17,Merkezi,Yok,Yok,Evet,84000
Adana,Seyhan,91,2+1,0,8,Kombi,Yok,Var,Evet,109200
Adana,Seyhan,147,4+1,27,0,Soba,Var,Var,Evet,176400
Adana,Seyhan,97,1+1,25,13,Soba,Yok,Var,Hayır,116400
Adana,Seyhan,72,4+1,6,7,Kombi,Var,Var,Hayır,86400
Adana,Seyhan,71,4+1,30,15,Merkezi,Yok,Yok,Evet,85200
Adana,Seyhan,125,3+1,23,16,Merkezi,Var,Yok,Hayır,150000
Adana,Tufanbeyli,70,2+1,14,20,Merkezi,Var,Var,Hayır,70000
Adana,Tufanbeyli,66,3+1,2,13,Merkezi,Var,Yok,Evet,66000
Adana,Tufanbeyli,142,3+1,19,2,Merkezi,Var,Yok,Evet,142000
Adana,Tufanbeyli,153,4+1,12,7,Soba,Var,Yok,Hayır,153000
Adana,Tufanbeyli,97,1+1,15,5,Kombi,Var,Var,Hayır,97000
Adana,Tufanbeyli,94,2+1,25,8,Kombi,Yok,Yok,Evet,84600
Adana,Tufanbeyli,130,1+1,17,6,Soba,Yok,Yok,Hayır,130000
Adana,Tufanbeyli,112,1+1,4,9,Soba,Yok,Yok,Evet,112000
Adana,Tufanbeyli,109,3+1,18,1,Merkezi,Var,Yok,Hayır,109000
Adana,Tufanbeyli,127,3+1,10,17,Kombi,Var,Var,Evet,127000
Adana,Yumurtalık,124,1+1,13,11,Kombi,Yok,Var,Evet,124000
Adana,Yumurtalık,154,3+1,9,8,Soba,Yok,Yok,Evet,154000
Adana,Yumurtalık,127,3+1,16,2,Kombi,Var,Yok,Hayır,127000
Adana,Yumurtalık,78,3+1,13,1,Soba,Var,Yok,Hayır,78000
Adana,Yumurtalık,131,1+1,20,8,Merkezi,Var,Yok,Evet,131000
Adana,Yumurtalık,111,1+1,16,10,Soba,Var,Yok,Evet,111000
Adana,Yumurtalık,147,1+1,21,18,Merkezi,Yok,Var,Hayır,132300
Adana,Yumurtalık,133,3+1,12,11,Merkezi,Var,Yok,Evet,133000
Adana,Yumurtalık,132,1+1,9,9,Kombi,Var,Yok,Evet,132000
Adana,Yumurtalık,106,4+1,26,13,Kombi,Var,Var,Evet,95400
Adana,Yüreğir,83,1+1,12,5,Kombi,Yok,Yok,Evet,83000
Adana,Yüreğir,176,3+1,22,14,Kombi,Var,Var,Evet,158400
Adana,Yüreğir,136,1+1,10,11,Kombi,Var,Yok,Evet,136000
Adana,Yüreğir,104,3+1,8,10,Merkezi,Yok,Var,Evet,104000
Adana,Yüreğir,101,1+1,5,16,Kombi,Yok,Yok,Hayır,101000
Adana,Yüreğir,102,4+1,2,9,Kombi,Yok,Var,Evet,102000
Adana,Yüreğir,65,2+1,20,12,Soba,Var,Yok,Hayır,65000
Adana,Yüreğir,173,2+1,5,5,Soba,Yok,Yok,Hayır,173000
Adana,Yüreğir,158,2+1,20,13,Merkezi,Var,Var,Hayır,158000
Adana,Yüreğir,96,3+1,11,18,Kombi,Yok,Var,Evet,96000
Adana,Çukurova,66,3+1,6,0,Soba,Yok,Var,Evet,79200
Adana,Çukurova,128,3+1,2,5,Merkezi,Var,Var,Hayır,153600
Adana,Çukurova,120,4+1,15,13,Soba,Var,Var,Hayır,144000
Adana,Çukurova,157,1+1,28,1,Kombi,Var,Yok,Evet,188400
Adana,Çukurova,89,2+1,1,16,Kombi,Yok,Var,Hayır,106800
Adana,Çukurova,67,1+1,18,18,Merkezi,Yok,Yok,Evet,80400
Adana,Çukurova,85,2+1,13,6,Soba,Yok,Yok,Evet,102000
Adana,Çukurova,78,4+1,6,0,Merkezi,Yok,Yok,Hayır,93600
Adana,Çukurova,153,4+1,14,5,Merkezi,Var,Var,Hayır,183600
Adana,Çukurova,123,3+1,13,8,Soba,Var,Yok,Hayır,147600
Adana,İmamoğlu,124,2+1,29,2,Soba,Yok,Yok,Hayır,111600
Adana,İmamoğlu,116,3+1,18,17,Merkezi,Yok,Var,Evet,116000
Adana,İmamoğlu,102,1+1,22,14,Soba,Yok,Var,Hayır,91800
Adana,İmamoğlu,162,1+1,19,18,Soba,Yok,Yok,Hayır,162000
Adana,İmamoğlu,106,4+1,11,10,Kombi,Yok,Yok,Hayır,106000
Adana,İmamoğlu,176,4+1,12,7,Kombi,Yok,Yok,Hayır,176000
Adana,İmamoğlu,137,2+1,22,14,Kombi,Var,Var,Hayır,123300
Adana,İmamoğlu,71,1+1,15,9,Merkezi,Var,Var,Hayır,71000
Adana,İmamoğlu,60,2+1,26,2,Merkezi,Var,Yok,Hayır,54000
Adana,İmamoğlu,174,3+1,8,14,Soba,Yok,Yok,Hayır,174000
Adıyaman,Adıyaman Merkez,113,3+1,10,8,Soba,Yok,Var,Evet,135600
Adıyaman,Adıyaman Merkez,101,2+1,30,15,Soba,Var,Var,Evet,121200
Adıyaman,Adıyaman Merkez,179,1+1,30,1,Kombi,Var,Yok,Hayır,214800
Adıyaman,Adıyaman Merkez,114,2+1,23,20,Kombi,Yok,Var,Evet,136800
Adıyaman,Adıyaman Merkez,130,2+1,6,14,Soba,Var,Yok,Hayır,156000
Adıyaman,Adıyaman Merkez,152,1+1,26,7,Kombi,Yok,Var,Evet,182400
Adıyaman,Adıyaman Merkez,112,3+1,9,2,Merkezi,Var,Yok,Hayır,134400
Adıyaman,Adıyaman Merkez,178,2+1,23,5,Kombi,Yok,Yok,Hayır,213600
Adıyaman,Adıyaman Merkez,124,2+1,19,20,Kombi,Yok,Var,Evet,148800
Adıyaman,Adıyaman Merkez,178,1+1,12,7,Soba,Var,Yok,Hayır,213600
Adıyaman,Besni,86,1+1,5,13,Merkezi,Yok,Yok,Evet,86000
Adıyaman,Besni,86,2+1,14,16,Merkezi,Var,Yok,Evet,86000
Adıyaman,Besni,141,4+1,6,0,Merkezi,Yok,Var,Hayır,141000
Adıyaman,Besni,168,2+1,12,9,Kombi,Var,Var,Evet,168000
Adıyaman,Besni,93,4+1,1,7,Kombi,Var,Yok,Evet,93000
Adıyaman,Besni,69,2+1,25,4,Soba,Yok,Yok,Hayır,62100
Adıyaman,Besni,174,4+1,1,15,Soba,Var,Yok,Hayır,174000
Adıyaman,Besni,171,4+1,25,18,Merkezi,Var,Var,Hayır,153900
Adıyaman,Besni,177,3+1,13,0,Merkezi,Yok,Yok,Evet,177000
Adıyaman,Besni,175,2+1,15,16,Soba,Yok,Var,Evet,175000
Adıyaman,Gerger,164,3+1,13,11,Kombi,Var,Var,Hayır,164000
Adıyaman,Gerger,146,2+1,0,15,Merkezi,Var,Yok,Hayır,146000
Adıyaman,Gerger,119,3+1,7,2,Soba,Var,Var,Hayır,119000
Adıyaman,Gerger,125,2+1,24,14,Merkezi,Var,Var,Hayır,112500
Adıyaman,Gerger,96,3+1,16,2,Soba,Var,Var,Hayır,96000
Adıyaman,Gerger,100,1+1,29,8,Merkezi,Var,Yok,Evet,90000
Adıyaman,Gerger,151,1+1,25,10,Soba,Var,Var,Hayır,135900
Adıyaman,Gerger,128,3+1,19,11,Merkezi,Var,Yok,Hayır,128000
Adıyaman,Gerger,80,1+1,9,16,Kombi,Var,Yok,Hayır,80000
Adıyaman,Gerger,65,3+1,27,19,Kombi,Yok,Var,Hayır,58500
Adıyaman,Gölbaşı,95,4+1,0,0,Merkezi,Var,Yok,Hayır,95000
Adıyaman,Gölbaşı,83,4+1,4,15,Soba,Yok,Yok,Hayır,83000
Adıyaman,Gölbaşı,95,1+1,20,16,Kombi,Var,Var,Evet,95000
Adıyaman,Gölbaşı,93,3+1,26,20,Kombi,Var,Yok,Evet,83700
Adıyaman,Gölbaşı,75,1+1,26,6,Soba,Var,Yok,Hayır,67500
Adıyaman,Gölbaşı,124,1+1,12,19,Merkezi,Var,Var,Evet,124000
Adıyaman,Gölbaşı,142,4+1,6,2,Soba,Yok,Var,Evet,142000
Adıyaman,Gölbaşı,123,3+1,16,6,Merkezi,Var,Yok,Evet,123000
Adıyaman,Gölbaşı,65,4+1,7,2,Soba,Yok,Yok,Hayır,65000
Adıyaman,Gölbaşı,139,1+1,15,20,Soba,Yok,Yok,Hayır,139000
Adıyaman,Kahta,164,1+1,0,8,Merkezi,Var,Var,Evet,196800
Adıyaman,Kahta,124,1+1,12,0,Soba,Var,Var,Hayır,148800
Adıyaman,Kahta,145,3+1,22,19,Merkezi,Yok,Yok,Hayır,174000
Adıyaman,Kahta,159,4+1,28,0,Soba,Yok,Yok,Evet,190800
Adıyaman,Kahta,135,4+1,28,3,Soba,Yok,Yok,Evet,162000
Adıyaman,Kahta,102,1+1,25,8,Kombi,Var,Yok,Evet,122400
Adıyaman,Kahta,126,4+1,21,16,Kombi,Var,Yok,Hayır,151200
Adıyaman,Kahta,104,1+1,17,1,Merkezi,Var,Var,Evet,124800
Adıyaman,Kahta,117,1+1,3,16,Merkezi,Var,Var,Evet,140400
Adıyaman,Kahta,171,2+1,26,18,Kombi,Var,Yok,Evet,205200
Adıyaman,Samsat,133,4+1,30,17,Kombi,Var,Yok,Hayır,119700
Adıyaman,Samsat,172,4+1,23,11,Soba,Var,Yok,Evet,154800
Adıyaman,Samsat,70,2+1,11,0,Kombi,Var,Yok,Evet,70000
Adıyaman,Samsat,114,1+1,7,13,Soba,Yok,Yok,Evet,114000
Adıyaman,Samsat,174,4+1,3,2,Kombi,Var,Var,Hayır,174000
Adıyaman,Samsat,116,2+1,23,2,Kombi,Yok,Yok,Evet,104400
Adıyaman,Samsat,113,3+1,11,11,Soba,Var,Var,Hayır,113000
Adıyaman,Samsat,121,1+1,15,5,Merkezi,Yok,Yok,Hayır,121000
Adıyaman,Samsat,99,1+1,18,7,Merkezi,Var,Var,Hayır,99000
Adıyaman,Samsat,175,3+1,6,8,Soba,Yok,Var,Hayır,175000
Adıyaman,Sincik,93,2+1,24,13,Kombi,Yok,Yok,Evet,83700
Adıyaman,Sincik,160,4+1,6,13,Kombi,Var,Var,Hayır,160000
Adıyaman,Sincik,125,2+1,30,12,Soba,Var,Var,Hayır,112500
Adıyaman,Sincik,139,4+1,6,18,Soba,Yok,Var,Evet,139000
Adıyaman,Sincik,116,3+1,19,2,Kombi,Yok,Yok,Hayır,116000
Adıyaman,Sincik,61,3+1,4,0,Merkezi,Var,Var,Hayır,61000
Adıyaman,Sincik,160,2+1,13,19,Merkezi,Var,Yok,Hayır,160000
Adıyaman,Sincik,101,2+1,14,13,Merkezi,Var,Yok,Hayır,101000
Adıyaman,Sincik,78,1+1,20,13,Soba,Var,Var,Evet,78000
Adıyaman,Sincik,64,2+1,8,20,Soba,Yok,Var,Hayır,64000
Adıyaman,Tut,129,1+1,4,1,Merkezi,Var,Yok,Evet,129000
Adıyaman,Tut,108,1+1,14,20,Merkezi,Var,Var,Hayır,108000
Adıyaman,Tut,62,1+1,1,2,Soba,Var,Var,Evet,62000
Adıyaman,Tut,79,3+1,14,20,Soba,Yok,Var,Hayır,79000
Adıyaman,Tut,156,2+1,9,0,Kombi,Var,Var,Evet,156000
Adıyaman,Tut,167,1+1,9,2,Soba,Var,Var,Hayır,167000
Adıyaman,Tut,63,2+1,2,16,Merkezi,Yok,Yok,Hayır,63000
Adıyaman,Tut,110,1+1,11,7,Soba,Yok,Var,Evet,110000
Adıyaman,Tut,70,2+1,21,11,Kombi,Yok,Var,Hayır,63000
Adıyaman,Tut,82,2+1,1,4,Merkezi,Var,Yok,Hayır,82000
Adıyaman,Çelikhan,118,2+1,25,2,Merkezi,Var,Yok,Hayır,106200
Adıyaman,Çelikhan,144,2+1,26,6,Soba,Var,Var,Hayır,129600
Adıyaman,Çelikhan,85,3+1,29,13,Kombi,Yok,Yok,Hayır,76500
Adıyaman,Çelikhan,174,3+1,24,2,Merkezi,Var,Var,Hayır,156600
Adıyaman,Çelikhan,177,2+1,10,6,Kombi,Yok,Yok,Evet,177000
Adıyaman,Çelikhan,152,4+1,23,2,Merkezi,Var,Yok,Evet,136800
Adıyaman,Çelikhan,134,1+1,21,14,Kombi,Yok,Yok,Evet,120600
Adıyaman,Çelikhan,146,2+1,4,7,Kombi,Yok,Yok,Evet,146000
Adıyaman,Çelikhan,123,2+1,10,12,Soba,Yok,Var,Evet,123000
Adıyaman,Çelikhan,116,3+1,15,1,Soba,Yok,Var,Evet,116000
Afyonkarahisar,Afyonkarahisar Merkez,75,3+1,13,1,Kombi,Yok,Var,Evet,90000
Afyonkarahisar,Afyonkarahisar Merkez,138,2+1,11,16,Merkezi,Var,Var,Hayır,165600
Afyonkarahisar,Afyonkarahisar Merkez,162,4+1,24,7,Merkezi,Yok,Yok,Evet,194400
Afyonkarahisar,Afyonkarahisar Merkez,88,4+1,11,3,Soba,Yok,Var,Evet,105600
Afyonkarahisar,Afyonkarahisar Merkez,118,2+1,24,2,Kombi,Yok,Yok,Evet,141600
Afyonkarahisar,Afyonkarahisar Merkez,163,1+1,21,5,Soba,Yok,Var,Evet,195600
Afyonkarahisar,Afyonkarahisar Merkez,65,4+1,25,7,Kombi,Var,Var,Hayır,78000
Afyonkarahisar,Afyonkarahisar Merkez,131,2+1,13,16,Soba,Yok,Var,Evet,157200
Afyonkarahisar,Afyonkarahisar Merkez,120,1+1,22,20,Soba,Var,Var,Hayır,144000
Afyonkarahisar,Afyonkarahisar Merkez,90,2+1,18,12,Merkezi,Yok,Var,Evet,108000
Afyonkarahisar,Bayat,157,4+1,15,7,Kombi,Yok,Var,Hayır,157000
Afyonkarahisar,Bayat,98,3+1,30,20,Merkezi,Var,Yok,Hayır,88200
Afyonkarahisar,Bayat,120,1+1,10,2,Soba,Var,Yok,Evet,120000
Afyonkarahisar,Bayat,123,3+1,26,7,Soba,Var,Yok,Evet,110700
Afyonkarahisar,Bayat,166,2+1,24,20,Kombi,Yok,Var,Hayır,149400
Afyonkarahisar,Bayat,120,2+1,3,0,Merkezi,Yok,Var,Hayır,120000
Afyonkarahisar,Bayat,110,2+1,0,10,Merkezi,Yok,Yok,Evet,110000
Afyonkarahisar,Bayat,142,3+1,15,7,Soba,Var,Yok,Hayır,142000
Afyonkarahisar,Bayat,119,4+1,18,10,Kombi,Var,Var,Evet,119000
Afyonkarahisar,Bayat,153,3+1,26,14,Merkezi,Var,Var,Evet,137700
Afyonkarahisar,Başmakçı,62,2+1,12,11,Kombi,Yok,Yok,Evet,62000
Afyonkarahisar,Başmakçı,129,2+1,21,17,Merkezi,Yok,Yok,Evet,116100
Afyonkarahisar,Başmakçı,146,1+1,2,2,Soba,Var,Yok,Hayır,146000
Afyonkarahisar,Başmakçı,158,1+1,23,2,Soba,Yok,Yok,Evet,142200
Afyonkarahisar,Başmakçı,143,3+1,0,7,Kombi,Var,Yok,Evet,143000
Afyonkarahisar,Başmakçı,120,1+1,2,18,Kombi,Var,Var,Hayır,120000
Afyonkarahisar,Başmakçı,149,1+1,24,15,Kombi,Yok,Yok,Hayır,134100
Afyonkarahisar,Başmakçı,86,2+1,29,7,Soba,Var,Yok,Evet,77400
Afyonkarahisar,Başmakçı,170,2+1,27,15,Soba,Var,Yok,Hayır,153000
Afyonkarahisar,Başmakçı,81,4+1,18,9,Kombi,Yok,Var,Hayır,81000
Afyonkarahisar,Bolvadin,176,4+1,6,16,Kombi,Var,Yok,Hayır,176000
Afyonkarahisar,Bolvadin,162,2+1,11,9,Merkezi,Var,Var,Hayır,162000
Afyonkarahisar,Bolvadin,135,1+1,26,18,Soba,Var,Var,Evet,121500
Afyonkarahisar,Bolvadin,119,1+1,27,20,Soba,Var,Var,Evet,107100
Afyonkarahisar,Bolvadin,113,1+1,5,1,Kombi,Yok,Var,Hayır,113000
Afyonkarahisar,Bolvadin,88,3+1,18,8,Soba,Yok,Yok,Hayır,88000
Afyonkarahisar,Bolvadin,65,2+1,23,10,Soba,Var,Yok,Hayır,58500
Afyonkarahisar,Bolvadin,146,3+1,23,11,Soba,Yok,Var,Hayır,131400
Afyonkarahisar,Bolvadin,74,1+1,26,2,Kombi,Yok,Var,Hayır,66600
Afyonkarahisar,Bolvadin,146,4+1,26,16,Merkezi,Var,Yok,Hayır,131400
Afyonkarahisar,Dazkırı,63,1+1,27,19,Kombi,Yok,Var,Hayır,56700
Afyonkarahisar,Dazkırı,146,2+1,27,14,Soba,Yok,Var,Evet,131400
Afyonkarahisar,Dazkırı,96,4+1,9,18,Kombi,Var,Yok,Hayır,96000
Afyonkarahisar,Dazkırı,136,1+1,4,5,Soba,Yok,Var,Hayır,136000
Afyonkarahisar,Dazkırı,146,2+1,17,1,Soba,Var,Yok,Hayır,146000
Afyonkarahisar,Dazkırı,169,2+1,9,1,Merkezi,Yok,Yok,Hayır,169000
Afyonkarahisar,Dazkırı,117,2+1,2,15,Kombi,Var,Var,Evet,117000
Afyonkarahisar,Dazkırı,90,4+1,28,3,Merkezi,Var,Yok,Hayır,81000
Afyonkarahisar,Dazkırı,127,3+1,27,2,Kombi,Yok,Var,Hayır,114300
Afyonkarahisar,Dazkırı,60,2+1,11,13,Soba,Var,Yok,Hayır,60000
Afyonkarahisar,Dinar,92,3+1,30,1,Kombi,Var,Var,Evet,82800
Afyonkarahisar,Dinar,84,1+1,17,17,Merkezi,Yok,Var,Hayır,84000
Afyonkarahisar,Dinar,165,4+1,27,8,Merkezi,Yok,Yok,Hayır,148500
Afyonkarahisar,Dinar,129,2+1,19,15,Soba,Yok,Yok,Hayır,129000
Afyonkarahisar,Dinar,158,1+1,0,16,Merkezi,Yok,Yok,Evet,158000
Afyonkarahisar,Dinar,110,1+1,14,2,Soba,Var,Yok,Hayır,110000
Afyonkarahisar,Dinar,65,2+1,16,2,Soba,Yok,Var,Evet,65000
Afyonkarahisar,Dinar,78,4+1,28,4,Soba,Var,Var,Hayır,70200
Afyonkarahisar,Dinar,69,2+1,3,19,Merkezi,Var,Yok,Evet,69000
Afyonkarahisar,Dinar,164,2+1,16,17,Kombi,Var,Var,Hayır,164000
Afyonkarahisar,Emirdağ,144,4+1,28,3,Merkezi,Var,Var,Hayır,129600
Afyonkarahisar,Emirdağ,91,3+1,25,7,Merkezi,Yok,Var,Evet,81900
Afyonkarahisar,Emirdağ,116,1+1,21,17,Merkezi,Yok,Var,Evet,104400
Afyonkarahisar,Emirdağ,112,1+1,17,19,Merkezi,Var,Var,Evet,112000
Afyonkarahisar,Emirdağ,61,3+1,18,9,Soba,Yok,Yok,Hayır,61000
Afyonkarahisar,Emirdağ,138,4+1,16,17,Merkezi,Var,Yok,Evet,138000
Afyonkarahisar,Emirdağ,135,4+1,24,3,Soba,Var,Var,Hayır,121500
Afyonkarahisar,Emirdağ,120,3+1,21,14,Kombi,Yok,Var,Hayır,108000
Afyonkarahisar,Emirdağ,132,4+1,3,17,Kombi,Var,Yok,Evet,132000
Afyonkarahisar,Emirdağ,144,4+1,24,7,Soba,Var,Yok,Hayır,129600
Afyonkarahisar,Evciler,79,3+1,6,3,Soba,Yok,Yok,Hayır,79000
Afyonkarahisar,Evciler,172,3+1,26,19,Soba,Var,Var,Hayır,154800
Afyonkarahisar,Evciler,112,1+1,5,11,Kombi,Var,Yok,Hayır,112000
Afyonkarahisar,Evciler,91,1+1,2,7,Kombi,Yok,Var,Hayır,91000
Afyonkarahisar,Evciler,93,2+1,28,12,Kombi,Yok,Var,Hayır,83700
Afyonkarahisar,Evciler,140,1+1,7,7,Soba,Var,Yok,Hayır,140000
Afyonkarahisar,Evciler,167,4+1,7,14,Merkezi,Yok,Yok,Hayır,167000
Afyonkarahisar,Evciler,93,3+1,6,6,Soba,Yok,Var,Evet,93000
Afyonkarahisar,Evciler,77,3+1,10,13,Kombi,Yok,Yok,Hayır,77000
Afyonkarahisar,Evciler,159,2+1,20,0,Kombi,Var,Yok,Hayır,159000
Afyonkarahisar,Hocalar,153,2+1,0,5,Merkezi,Yok,Var,Evet,153000
Afyonkarahisar,Hocalar,125,2+1,22,4,Merkezi,Yok,Var,Hayır,112500
Afyonkarahisar,Hocalar,66,4+1,8,16,Soba,Yok,Var,Evet,66000
Afyonkarahisar,Hocalar,67,3+1,1,4,Merkezi,Yok,Var,Evet,67000
Afyonkarahisar,Hocalar,175,1+1,24,7,Merkezi,Var,Yok,Hayır,157500
Afyonkarahisar,Hocalar,104,2+1,30,16,Soba,Yok,Var,Hayır,93600
